timestamp,sessions,orders,totalSales
2022-02-26T00:59:48.671Z,0,0,0
2022-02-26T01:12:41.101Z,170,150,69.43
2022-02-26T01:14:57.989Z,27,16,13
2022-02-26T01:23:36.912Z,136,89,78
2022-02-26T01:23:55.345Z,23,17,12
2022-02-27T01:00:51.398Z,142,106,61
2022-02-27T01:07:47.857Z,29,19,19
2022-02-27T01:08:35.413Z,166,133,46
2022-02-27T01:11:05.980Z,184,53,36
2022-02-28T00:54:35.652Z,50,20,5
2022-02-28T01:03:45.846Z,121,84,84
2022-02-28T01:26:33.167Z,113,33,19
2022-02-28T01:27:36.880Z,171,141,33
2022-02-28T01:28:06.819Z,161,114,32
2022-02-28T01:40:17.835Z,92,83,9
2022-02-28T01:40:57.143Z,27,8,2
2022-02-28T01:50:04.099Z,174,113,59
2022-03-01T00:55:47.328Z,17,11,3
2022-03-01T01:11:06.173Z,180,161,123
2022-03-01T01:20:02.382Z,182,141,75
2022-03-01T01:21:52.284Z,165,97,60
2022-03-01T01:39:38.235Z,86,27,6
2022-03-01T01:46:39.528Z,49,31,23
2022-03-02T00:52:38.294Z,109,88,81
2022-03-02T00:54:36.962Z,97,88,25
2022-03-02T00:57:00.905Z,134,118,44
2022-03-02T00:58:04.214Z,37,11,9
2022-03-02T00:59:15.001Z,56,9,8
2022-03-02T01:15:07.221Z,54,46,45
2022-03-02T01:16:58.125Z,26,14,10
2022-03-02T01:20:37.670Z,6,2,1
2022-03-02T01:24:13.700Z,160,47,25
2022-03-02T01:26:29.441Z,153,105,73
2022-03-02T01:34:47.716Z,79,52,48
2022-03-02T01:43:18.793Z,139,61,2
2022-03-02T01:44:41.317Z,45,45,17
2022-03-03T00:56:01.308Z,8,5,5
2022-03-03T01:00:24.308Z,127,114,87
2022-03-03T01:04:26.225Z,179,94,1
2022-03-03T01:11:22.466Z,28,26,23
2022-03-03T01:16:00.422Z,199,40,22
2022-03-03T01:17:30.379Z,199,144,54
2022-03-03T01:27:31.358Z,194,60,24
2022-03-03T01:32:11.799Z,113,40,35
2022-03-03T01:41:23.365Z,197,103,98
2022-03-03T01:42:52.154Z,4,3,3
2022-03-03T01:44:19.985Z,166,80,72
2022-03-03T01:50:29.622Z,1,1,0
2022-03-04T01:05:05.425Z,51,19,18
2022-03-04T01:10:13.923Z,30,6,6
2022-03-04T01:18:08.493Z,125,4,3
2022-03-04T01:22:36.517Z,20,14,12
2022-03-04T01:27:44.556Z,9,6,2
2022-03-04T01:28:26.560Z,94,60,32
2022-03-04T01:39:35.862Z,88,10,10
2022-03-04T01:40:09.445Z,122,103,26
2022-03-04T01:41:51.995Z,96,50,38
2022-03-04T01:47:42.383Z,22,11,1
2022-03-05T00:53:34.272Z,196,176,9
2022-03-05T00:54:47.573Z,176,150,86
2022-03-05T01:13:52.671Z,173,138,12
2022-03-05T01:26:08.694Z,158,55,6
2022-03-05T01:44:17.337Z,78,53,41
2022-03-05T01:45:43.455Z,29,3,1
2022-03-05T01:48:54.994Z,158,140,18
2022-03-05T01:50:20.177Z,42,25,2
2022-03-06T01:05:06.588Z,43,8,0
2022-03-06T01:07:36.717Z,157,120,58
2022-03-06T01:07:53.578Z,128,81,40
2022-03-06T01:33:06.301Z,179,56,38
2022-03-07T01:01:46.288Z,151,49,44
2022-03-07T01:02:08.320Z,175,114,106
2022-03-07T01:12:26.760Z,34,20,19
2022-03-07T01:14:34.365Z,58,41,17
2022-03-07T01:49:37.318Z,125,76,70
2022-03-07T01:50:48.245Z,153,147,141
2022-03-08T00:51:59.878Z,134,70,13
2022-03-08T00:55:50.811Z,12,2,1
2022-03-08T00:57:54.569Z,111,105,71
2022-03-08T00:59:46.137Z,172,92,70
2022-03-08T01:06:06.392Z,159,123,12
2022-03-08T01:07:27.801Z,149,131,30
2022-03-08T01:24:20.722Z,160,155,48
2022-03-08T01:25:05.090Z,12,6,5
2022-03-08T01:36:04.974Z,178,28,18
2022-03-08T01:37:31.818Z,161,39,17
2022-03-08T01:39:36.826Z,39,20,6
2022-03-08T01:51:12.073Z,75,11,7
2022-03-09T01:28:26.623Z,81,67,50
2022-03-09T01:32:42.967Z,197,19,12
2022-03-09T01:34:14.363Z,7,3,1
2022-03-09T01:39:01.617Z,123,106,61
2022-03-10T01:06:29.491Z,142,104,100
2022-03-10T01:07:09.854Z,118,94,30
2022-03-10T01:07:18.666Z,91,45,30
2022-03-10T01:41:57.129Z,18,1,1
2022-03-10T01:44:35.333Z,11,7,2
2022-03-11T01:08:27.174Z,181,108,104
2022-03-11T01:14:54.480Z,59,38,32
2022-03-11T01:21:42.037Z,64,29,1
2022-03-11T01:37:01.469Z,70,23,22
2022-03-11T01:39:30.634Z,184,37,19
2022-03-11T01:39:48.793Z,91,18,11
2022-03-11T01:51:18.951Z,112,90,74
2022-03-12T00:51:56.299Z,53,50,48
2022-03-12T00:54:53.362Z,168,148,67
2022-03-12T00:58:36.186Z,90,57,39
2022-03-12T01:01:33.054Z,71,48,5
2022-03-12T01:06:41.551Z,59,14,6
2022-03-12T01:06:54.593Z,157,83,14
2022-03-12T01:10:17.882Z,128,89,28
2022-03-12T01:22:33.386Z,8,5,3
2022-03-12T01:38:00.962Z,8,2,2
2022-03-12T01:44:23.569Z,198,181,34
2022-03-12T01:45:26.849Z,145,22,15
2022-03-12T01:50:51.205Z,85,29,7
2022-03-13T01:06:52.383Z,46,19,9
2022-03-13T01:10:26.045Z,46,28,23
2022-03-13T01:15:54.284Z,33,32,8
2022-03-13T01:24:29.461Z,137,18,3
2022-03-13T01:36:54.035Z,75,37,9
2022-03-13T01:37:55.646Z,108,13,8
2022-03-13T01:39:26.814Z,53,5,5
2022-03-14T00:52:36.020Z,35,18,0
2022-03-14T00:53:01.984Z,175,170,11
2022-03-14T01:04:57.603Z,41,23,0
2022-03-14T01:12:41.868Z,16,6,5
2022-03-14T01:15:45.222Z,101,52,37
2022-03-14T01:36:37.867Z,129,68,65
2022-03-14T01:38:50.247Z,95,69,54
2022-03-14T01:47:20.366Z,156,46,31
2022-03-15T00:59:24.748Z,96,91,74
2022-03-15T01:00:15.972Z,9,6,2
2022-03-15T01:18:11.894Z,40,26,14
2022-03-15T01:19:01.675Z,146,11,1
2022-03-15T01:33:00.310Z,188,86,44
2022-03-15T01:42:51.984Z,6,4,0
2022-03-15T01:45:04.826Z,57,35,17
2022-03-15T01:46:24.152Z,139,96,31
2022-03-16T00:53:11.586Z,14,5,4
2022-03-16T00:55:35.950Z,116,16,13
2022-03-16T00:58:45.004Z,167,129,50
